author_year,outcome_category,plain_language_outcome,plain_language_exposure,age_group,original_effect_size_metric,original_effect_size,original_cilb,original_ciub,original_k,original_n,original_i2,converted_r,converted_cilb,converted_ciub,reanalysis_estimate,reanalysis_cilb,reanalysis_ciub,reanalysis_cilb999,reanalysis_ciub999,reanalysis_k,reanalysis_n,reanalysis_i2,reanalysis_eggers_p,reanalysis_eggers_cilb,reanalysis_eggers_ciub,reanalysis_tes_obser,reanalysis_tes_expect,reanalysis_tes_ratio,reanalysis_tes_p,reanalysis_tes_power,reanalysis_tes_theta
"Bartel, 2015",health behaviour,Sleep: Bedtime,Computer use: General,Adolescents,r,0.148,0.034,0.263,2,5063,NA,0.148,0.034,0.263,0.13215598005085405,0.016540302687022793,0.24777165741468532,-0.06194782999160775,0.32625979009331585,2,5063,93.97324784000278,NA,NA,NA,2,1.7710934972691006,1.1292458603026079,0.783696884265723,0.863; 0.908,0.13215598005085405
"Bartel, 2015",health behaviour,Sleep: Duration,Computer use: General,Adolescents,r,-0.157,-0.175,-0.139,4,7611,NA,-0.157,-0.175,-0.139,-0.16474308788757153,-0.1965796330147797,-0.13290654276036334,-0.21819254083964218,-0.11129363493550089,4,7611,39.22904294406814,NA,NA,NA,4,3.9706736212344067,1.0073857439727005,0.9708755874142795,1; 1; 0.982; 0.989,-0.16474308788757153
"Bartel, 2015",health behaviour,Sleep: Time to fall asleep,Computer use: General,Adolescents,r,0.04,0.04,0.04,1,3282,NA,0.04,0.04,0.04,0.04,0.00583750759366157,0.07416249240633843,-0.017354418430206728,0.09735441843020673,1,3282,0,NA,NA,NA,1,0.631163356045112,1.58437588371104,0.631163356045112,0.631,0.04
"Bartel, 2015",health behaviour,Sleep: Bedtime,Internet use: General,Adolescents,r,0.212,0.09,0.333,4,3867,NA,0.212,0.09,0.333,0.2011365434207757,0.10794792328138034,0.294325163560171,0.04468486978888306,0.3575882170526683,4,3867,86.12390502082062,NA,NA,NA,3,3.4781221824885593,0.8625343914323136,0.9330306849363866,0.969; 0.672; 0.884; 0.953,0.2011365434207757
"Bartel, 2015",health behaviour,Sleep: Duration,Internet use: General,Adolescents,r,-0.087,-0.204,0.031,5,11850,NA,-0.087,-0.204,0.031,-0.12279789348132161,-0.20632188110597616,-0.039273905856667055,-0.26302389567708157,0.01742810871443834,5,11850,92.19696704593363,NA,NA,NA,4,3.6347947054977916,1.1004748064450018,0.5828847697075041,0.431; 0.925; 0.849; 0.635; 0.796,-0.12279789348132161
"Bartel, 2015",health behaviour,Sleep: Time to fall asleep,Internet use: General,Adolescents,r,0.08,-0.03,0.189,3,1729,NA,0.08,-0.03,0.189,0.09207274162988432,-0.010942033364976803,0.19508751662474544,-0.08087577861486925,0.2650212618746379,3,1729,72.59918933398684,NA,NA,NA,1,1.5305169018227818,0.653374032530475,0.8998887199921636,0.307; 0.691; 0.533,0.09207274162988432
"Bartel, 2015",health behaviour,Sleep: Bedtime,Screen use: General (mobile phone),Adolescents,r,0.131,0.131,0.131,2,5590,NA,0.131,0.131,0.131,0.13084312032173223,0.10507387575048205,0.15661236489298241,0.08757988243527184,0.17410635820819262,3,5590,0,NA,NA,NA,2,2.400931592409466,0.8330099892570829,0.9999921515148333,1; 0.401; 1,0.13084312032173223
"Bartel, 2015",health behaviour,Sleep: Duration,Screen use: General (mobile phone),Adolescents,r,-0.104,-0.273,0.064,7,18902,NA,-0.104,-0.273,0.064,-0.11704465994237209,-0.1794739877594393,-0.05461533212530489,-0.2218554491362039,-0.012233870748540293,7,18902,94.22909654964444,NA,NA,NA,4,5.506459865793804,0.7264195322384984,0.9731642993685018,0.391; 0.846; 0.698; 0.894; 0.891; 0.892; 0.894,-0.11704465994237209
"Bartel, 2015",health behaviour,Sleep: Time to fall asleep,Screen use: General (mobile phone),Adolescents,r,0.039,0.039,0.039,2,3432,NA,0.039,0.039,0.039,0.03943621832857615,0.006022712834900641,0.07284972382225166,-0.01666074768051718,0.09553318433766947,2,3432,0,NA,NA,NA,1,0.6958827229212607,1.437023749924526,0.6482384938400902,0.077; 0.619,0.03943621832857615
"Bartel, 2015",health behaviour,Sleep: Bedtime,TV programs and movies: General,Adolescents,r,0.041,-0.112,0.194,8,11712,NA,0.041,-0.112,0.194,0.05929313719471008,-0.0016851351185266164,0.12027140950794676,-0.043081516967103134,0.1616677913565233,8,11712,90.03974875171522,NA,NA,NA,5,4.546253809759054,1.099806612043289,0.5213230477336374,0.665; 0.694; 0.431; 0.238; 0.696; 0.485; 0.587; 0.749,0.05929313719471008
